CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
284.11,715.99,74.27,1074.38,2432.34,216.8,0.0,0.0,2215.54,805.98,4095.89,1518.73,133.58,990.07,2642.37,1375.66,644.235,0.0,0.005,-5.45,2.0,-2.0,7902.64,-6451.11,1453.52,0.0,1453.52,4095.89,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,2
294.11,7.04,32.65,333.8,236.46,15.0,0.0,0.0,221.46,606.42,555.26,110.25,15.38,100.47,226.1,1375.66,644.235,0.0,0.005,-5.45,2.0,-1.0,1480.42,-1153.25,329.17,0.0,329.17,555.26,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1998,4
326.76,289.64,262.65,879.05,1869.08,135.63,0.0,0.0,1733.45,1218.32,3830.83,1798.41,76.87,842.76,2718.04,1375.66,644.235,0.0,0.005,-5.45,2.0,-1.0,5507.1,-4396.32,1112.78,0.0,1112.78,3830.83,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,4
340.22,246.19,124.69,711.11,343.71,44.88,0.0,0.0,298.83,495.44,1505.37,272.79,80.26,509.48,862.53,1375.66,644.235,0.0,0.005,-5.45,2.0,-1.0,2471.55,-1830.71,642.84,0.0,642.84,1505.37,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,2
370.39,310.65,346.45,1027.49,3076.03,356.8,0.0,0.0,2719.23,873.74,4620.45,13629.94,123.29,923.35,14676.58,1375.66,644.235,0.0,0.005,-5.45,2.0,-2.0,1000.0,-10058.12,-10056.12,0.0,-10056.12,4620.45,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,4
387.9,265.8,621.0,1274.7,1809.67,419.5,0.0,0.0,1390.18,1.91,2666.78,4671.2,4.76,757.65,5433.6,42.49,644.235,0.0,0.005,-5.45,2.0,-2.0,12361.05,-15172.35,-2809.31,0.0,-2809.31,2666.78,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,4
731.77,170.78,332.48,1235.03,3202.01,730.45,0.0,0.0,2471.55,472.16,4178.75,567.48,149.44,558.29,1275.2,54.1,644.235,0.0,0.005,-5.45,2.0,-1.0,14485.73,-11638.29,2849.44,0.0,2849.44,4178.75,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,2
947.2,912.89,488.37,2348.47,2609.89,1091.78,0.0,0.0,1518.1,140.46,4007.04,239.62,606.5,992.46,1838.58,1375.66,644.235,0.0,0.005,-5.45,0.9,-1.0,1000.0,2167.56,2168.46,0.0,2168.46,4007.04,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1992,4
1838.18,1274.07,677.91,3790.17,2106.97,567.89,0.0,0.0,1539.08,0.75,5330.0,3685.26,44.0,2999.45,6728.71,1350.28,644.235,0.0,0.005,-5.45,2.0,-1.0,12347.74,-15098.73,-2748.99,0.0,-2748.99,5330.0,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,2
2044.87,997.71,486.57,3529.14,2663.72,1161.75,0.0,0.0,1501.97,215.26,5246.37,459.91,333.65,2646.41,3439.97,1375.66,644.235,0.0,0.005,-5.45,0.9,-1.0,1000.0,1805.5,1806.4,0.0,1806.4,5246.37,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,2
2118.77,1180.75,880.82,4180.34,965.4,257.16,0.0,0.0,708.24,2440.59,7329.17,3396.82,212.18,5350.62,8959.62,1147.48,644.235,0.0,0.005,-5.45,2.0,-1.0,1588.79,-4368.72,-2777.93,0.0,-2777.93,7329.17,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,4
3638.44,944.415,1350.89,4989.32,2731.79,1242.17,0.0,0.0,1489.61,215.26,6694.2,807.41,320.12,2819.6,3947.13,1375.66,644.235,0.0,0.005,-5.45,0.9,-1.0,1000.0,2746.17,2747.07,0.0,2747.07,6694.2,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1993,4
5342.61,577.22,100.0,6019.84,2734.6,426.91,0.0,0.0,2307.69,1134.18,9461.7,404.92,566.38,5262.29,6233.59,1375.66,644.235,67.0,0.005,-5.45,0.9,-0.9,1000.0,3160.21,3161.11,0.0,3161.11,9461.7,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,2
6800.0,1060.0,500.0,8360.0,4500.0,600.0,0.0,0.0,3900.0,1000.0,13260.0,2006.0,300.0,5897.67,8203.67,1165.0,46.0,0.0,0.005,-5.45,0.9,-0.9,1000.0,3844.43,3845.33,0.0,3845.33,13260.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,4
8047.62,1492.57,2509.68,12049.86,20210.04,1437.97,0.0,0.0,18772.08,2503.96,33325.9,8269.91,399.45,13476.72,22146.08,12219.66,644.235,0.0,0.005,-5.45,6.75,-1.0,1759.04,-2805.63,-1039.84,0.0,-1039.84,33325.9,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,4
9563.48,2088.8,1207.09,12859.37,4545.17,398.41,0.0,0.0,4146.76,2545.81,19551.93,4363.66,260.21,13152.17,17776.03,3769.8,644.235,0.0,0.005,-5.45,2.0,-1.0,1588.79,-3584.68,-1993.9,0.0,-1993.9,19551.93,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,2
